yas,cinsiyet,egitim,sporgun,sporsure,yoruculuk,sportakim,sporamac,not
23,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0
21,1.0,0.0,1.0,2.0,0.0,0.0,2.0,5.0
24,1.0,0.0,3.0,4.0,4.0,0.0,5.0,4.0
55,1.0,0.0,1.0,2.0,2.0,0.0,2.0,5.0
22,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
19,2.0,0.0,1.0,2.0,2.0,0.0,2.0,5.0
22,2.0,0.0,2.0,2.0,2.0,0.0,2.0,6.0
30,1.0,1.0,2.0,0.0,0.0,0.0,1.0,6.0
23,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
22,2.0,0.0,1.0,2.0,2.0,2.0,1.0,6.0
21,1.0,0.0,2.0,3.0,4.0,0.0,3.0,3.0
20,2.0,0.0,2.0,2.0,3.0,0.0,2.0,5.0
24,1.0,0.0,1.0,3.0,4.0,2.0,2.0,6.0
23,1.0,0.0,3.0,4.0,4.0,0.0,2.0,6.0
20,2.0,0.0,1.0,4.0,5.0,0.0,2.0,5.0
23,1.0,0.0,2.0,3.0,2.0,0.0,2.0,5.0
34,2.0,1.0,2.0,3.0,3.0,2.0,2.0,6.0
21,1.0,0.0,3.0,4.0,5.0,0.0,2.0,4.0
23,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
22,2.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0
22,1.0,0.0,3.0,3.0,4.0,2.0,3.0,5.0
20,2.0,0.0,2.0,2.0,3.0,0.0,2.0,5.0
23,2.0,0.0,3.0,4.0,4.0,0.0,4.0,5.0
20,2.0,0.0,3.0,3.0,2.0,2.0,2.0,5.0
31,2.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0
23,2.0,0.0,1.0,3.0,4.0,0.0,3.0,5.0
23,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
26,2.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0
25,2.0,0.0,2.0,3.0,3.0,2.0,2.0,6.0
22,2.0,0.0,3.0,3.0,4.0,0.0,2.0,5.0
26,2.0,1.0,1.0,3.0,2.0,0.0,2.0,6.0
33,2.0,1.0,4.0,3.0,3.0,0.0,5.0,6.0
27,2.0,0.0,2.0,3.0,4.0,0.0,3.0,6.0
22,2.0,0.0,2.0,3.0,4.0,2.0,4.0,5.0
20,2.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0
21,1.0,0.0,3.0,4.0,4.0,2.0,5.0,5.0
19,2.0,0.0,2.0,3.0,3.0,2.0,2.0,5.0
21,2.0,0.0,2.0,3.0,2.0,0.0,2.0,5.0
34,2.0,0.0,1.0,2.0,2.0,2.0,5.0,4.0
26,2.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0
29,2.0,1.0,1.0,2.0,2.0,0.0,2.0,5.0
34,2.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0
23,1.0,0.0,2.0,3.0,3.0,2.0,2.0,5.0
25,2.0,1.0,2.0,3.0,3.0,2.0,2.0,6.0
23,2.0,0.0,2.0,4.0,3.0,0.0,3.0,4.0
28,2.0,1.0,1.0,4.0,5.0,2.0,1.0,6.0
27,1.0,1.0,3.0,3.0,5.0,0.0,3.0,6.0
22,2.0,0.0,3.0,3.0,4.0,2.0,2.0,5.0
28,2.0,1.0,3.0,4.0,4.0,2.0,2.0,6.0
22,2.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
25,2.0,1.0,0.0,0.0,2.0,0.0,2.0,6.0
22,2.0,0.0,2.0,3.0,2.0,0.0,2.0,5.0
27,2.0,0.0,3.0,3.0,4.0,0.0,2.0,6.0
24,2.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0
23,2.0,0.0,1.0,4.0,5.0,2.0,2.0,4.0
27,2.0,0.0,1.0,2.0,3.0,0.0,2.0,6.0
27,2.0,0.0,2.0,3.0,2.0,0.0,2.0,6.0
30,2.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0
36,1.0,0.0,7.0,4.0,5.0,2.0,2.0,6.0
34,2.0,1.0,3.0,3.0,3.0,0.0,3.0,6.0
26,2.0,1.0,2.0,2.0,3.0,0.0,2.0,6.0
22,2.0,0.0,1.0,2.0,2.0,0.0,2.0,4.0
22,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0
24,1.0,0.0,2.0,2.0,2.0,0.0,2.0,4.0
24,1.0,0.0,2.0,3.0,4.0,0.0,4.0,5.0
25,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
24,2.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0
25,2.0,1.0,3.0,2.0,3.0,0.0,2.0,6.0
25,2.0,1.0,1.0,2.0,2.0,0.0,2.0,5.0
26,2.0,1.0,1.0,2.0,2.0,0.0,2.0,6.0
26,2.0,1.0,1.0,2.0,2.0,2.0,4.0,6.0
24,2.0,1.0,4.0,4.0,5.0,2.0,2.0,6.0
34,1.0,1.0,1.0,3.0,3.0,2.0,2.0,5.0
26,2.0,1.0,2.0,3.0,4.0,0.0,2.0,6.0
30,2.0,1.0,2.0,3.0,3.0,0.0,2.0,5.0
37,2.0,1.0,2.0,2.0,3.0,0.0,2.0,6.0
24,2.0,0.0,1.0,2.0,2.0,0.0,2.0,6.0
23,2.0,0.0,4.0,3.0,4.0,0.0,2.0,5.0
27,2.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0
27,2.0,1.0,1.0,3.0,2.0,0.0,2.0,6.0
24,2.0,0.0,1.0,2.0,3.0,0.0,2.0,6.0
26,2.0,1.0,2.0,3.0,4.0,0.0,2.0,5.0
23,2.0,0.0,1.0,2.0,2.0,2.0,2.0,3.0
27,2.0,1.0,1.0,3.0,3.0,0.0,2.0,6.0
26,1.0,1.0,2.0,3.0,2.0,2.0,2.0,6.0
24,2.0,1.0,2.0,3.0,4.0,2.0,1.0,6.0
27,2.0,0.0,3.0,2.0,2.0,0.0,2.0,6.0
25,2.0,1.0,2.0,2.0,2.0,0.0,2.0,6.0
25,2.0,1.0,1.0,4.0,3.0,2.0,2.0,5.0
23,1.0,0.0,3.0,3.0,3.0,2.0,2.0,5.0
25,2.0,1.0,1.0,2.0,2.0,0.0,2.0,6.0
26,2.0,1.0,2.0,4.0,3.0,0.0,2.0,6.0
20,1.0,0.0,3.0,3.0,4.0,0.0,2.0,5.0
32,2.0,1.0,2.0,3.0,2.0,2.0,3.0,6.0
22,1.0,0.0,3.0,3.0,3.0,0.0,2.0,6.0
22,2.0,0.0,2.0,4.0,3.0,0.0,2.0,6.0
20,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
26,2.0,0.0,1.0,2.0,5.0,0.0,3.0,5.0
18,1.0,0.0,1.0,2.0,2.0,0.0,2.0,5.0
22,1.0,0.0,7.0,4.0,5.0,0.0,2.0,6.0
24,1.0,1.0,3.0,3.0,3.0,2.0,5.0,6.0
20,2.0,0.0,2.0,2.0,3.0,0.0,2.0,6.0
21,1.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0
22,1.0,0.0,2.0,4.0,2.0,2.0,2.0,6.0
23,1.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0
26,2.0,1.0,1.0,3.0,3.0,0.0,2.0,6.0
35,2.0,0.0,3.0,3.0,3.0,2.0,2.0,6.0
26,2.0,0.0,1.0,2.0,3.0,0.0,2.0,5.0
26,2.0,0.0,2.0,3.0,3.0,2.0,2.0,6.0
25,1.0,1.0,2.0,3.0,5.0,2.0,1.0,6.0
27,2.0,1.0,2.0,2.0,3.0,2.0,3.0,6.0
25,2.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0
31,2.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0
26,2.0,1.0,1.0,2.0,2.0,2.0,3.0,6.0
28,1.0,1.0,2.0,3.0,2.0,0.0,2.0,6.0
37,2.0,1.0,3.0,4.0,3.0,0.0,5.0,6.0
26,2.0,0.0,2.0,3.0,2.0,0.0,2.0,6.0
28,2.0,0.0,1.0,2.0,2.0,2.0,2.0,5.0
25,2.0,0.0,1.0,2.0,2.0,2.0,3.0,4.0
34,1.0,1.0,3.0,3.0,2.0,0.0,2.0,5.0
27,2.0,1.0,2.0,3.0,3.0,0.0,2.0,6.0
26,2.0,1.0,1.0,2.0,2.0,0.0,2.0,6.0
44,2.0,0.0,2.0,2.0,2.0,0.0,2.0,6.0
28,2.0,0.0,2.0,3.0,4.0,0.0,2.0,5.0
23,2.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0
23,1.0,0.0,1.0,2.0,3.0,2.0,2.0,5.0
32,2.0,1.0,3.0,4.0,4.0,2.0,4.0,6.0
26,2.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0
25,2.0,1.0,3.0,2.0,2.0,0.0,2.0,6.0
24,1.0,1.0,3.0,4.0,5.0,2.0,2.0,6.0
24,2.0,1.0,3.0,3.0,3.0,0.0,2.0,6.0
23,2.0,1.0,1.0,2.0,2.0,0.0,3.0,5.0
51,1.0,1.0,1.0,3.0,3.0,0.0,2.0,6.0
26,2.0,0.0,1.0,2.0,2.0,0.0,2.0,6.0
27,2.0,1.0,2.0,2.0,2.0,0.0,3.0,3.0
29,2.0,1.0,2.0,3.0,2.0,0.0,2.0,6.0
27,2.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0
32,2.0,1.0,0.0,2.0,2.0,0.0,2.0,5.0
21,2.0,0.0,1.0,2.0,2.0,2.0,2.0,5.0
34,2.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0
26,2.0,1.0,3.0,4.0,4.0,0.0,2.0,5.0
26,2.0,0.0,1.0,2.0,2.0,0.0,2.0,6.0
25,1.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0
32,2.0,1.0,1.0,4.0,2.0,0.0,2.0,6.0
