yas,cinsiyet,egitim,sporgun,sporsure,yoruculuk,sportakim,sporamac,not
19,2,0,2.0,3.0,3.0,2.0,2,5
21,2,0,2.0,3.0,2.0,0.0,2,5
34,2,0,1.0,2.0,2.0,2.0,5,4
26,2,1,0.0,0.0,0.0,0.0,2,5
29,2,1,1.0,2.0,2.0,0.0,2,5
34,2,0,0.0,0.0,0.0,0.0,2,6
23,1,0,2.0,3.0,3.0,2.0,2,5
25,2,1,2.0,3.0,3.0,2.0,2,6
23,2,0,2.0,4.0,3.0,0.0,3,4
28,2,1,1.0,4.0,5.0,2.0,1,6
27,1,1,3.0,3.0,5.0,0.0,3,6
22,2,0,3.0,3.0,4.0,2.0,2,5
28,2,1,3.0,4.0,4.0,2.0,2,6
22,2,0,0.0,0.0,0.0,0.0,2,4
25,2,1,0.0,0.0,2.0,0.0,2,6
22,2,0,2.0,3.0,2.0,0.0,2,5
27,2,0,3.0,3.0,4.0,0.0,2,6
24,2,1,1.0,2.0,2.0,2.0,2,4
23,2,0,1.0,4.0,5.0,2.0,2,4
27,2,0,1.0,2.0,3.0,0.0,2,6
27,2,0,2.0,3.0,2.0,0.0,2,6
30,2,0,0.0,0.0,0.0,0.0,2,6
36,1,0,7.0,4.0,5.0,2.0,2,6
34,2,1,3.0,3.0,3.0,0.0,3,6
26,2,1,2.0,2.0,3.0,0.0,2,6
22,2,0,1.0,2.0,2.0,0.0,2,4
22,1,0,0.0,0.0,0.0,0.0,4,5
24,1,0,2.0,2.0,2.0,0.0,2,4
24,1,0,2.0,3.0,4.0,0.0,4,5
25,2,0,0.0,0.0,0.0,0.0,1,5
24,2,1,0.0,0.0,0.0,0.0,2,5
25,2,1,3.0,2.0,3.0,0.0,2,6
25,2,1,1.0,2.0,2.0,0.0,2,5
26,2,1,1.0,2.0,2.0,0.0,2,6
26,2,1,1.0,2.0,2.0,2.0,4,6
24,2,1,4.0,4.0,5.0,2.0,2,6
34,1,1,1.0,3.0,3.0,2.0,2,5
26,2,1,2.0,3.0,4.0,0.0,2,6
30,2,1,2.0,3.0,3.0,0.0,2,5
37,2,1,2.0,2.0,3.0,0.0,2,6
24,2,0,1.0,2.0,2.0,0.0,2,6
23,2,0,4.0,3.0,4.0,0.0,2,5
27,2,0,0.0,0.0,0.0,0.0,2,5
27,2,1,1.0,3.0,2.0,0.0,2,6
24,2,0,1.0,2.0,3.0,0.0,2,6
26,2,1,2.0,3.0,4.0,0.0,2,5
23,2,0,1.0,2.0,2.0,2.0,2,3
27,2,1,1.0,3.0,3.0,0.0,2,6
26,1,1,2.0,3.0,2.0,2.0,2,6
24,2,1,2.0,3.0,4.0,2.0,1,6
27,2,0,3.0,2.0,2.0,0.0,2,6
25,2,1,2.0,2.0,2.0,0.0,2,6
25,2,1,1.0,4.0,3.0,2.0,2,5
23,1,0,3.0,3.0,3.0,2.0,2,5
25,2,1,1.0,2.0,2.0,0.0,2,6
26,2,1,2.0,4.0,3.0,0.0,2,6
20,1,0,3.0,3.0,4.0,0.0,2,5
32,2,1,2.0,3.0,2.0,2.0,3,6
22,1,0,3.0,3.0,3.0,0.0,2,6
22,2,0,2.0,4.0,3.0,0.0,2,6
20,2,0,0.0,0.0,0.0,0.0,2,3
26,2,0,1.0,2.0,5.0,0.0,3,5
18,1,0,1.0,2.0,2.0,0.0,2,5
22,1,0,7.0,4.0,5.0,0.0,2,6
24,1,1,3.0,3.0,3.0,2.0,5,6
20,2,0,2.0,2.0,3.0,0.0,2,6
21,1,0,0.0,0.0,0.0,2.0,4,2
22,1,0,2.0,4.0,2.0,2.0,2,6
23,1,0,0.0,0.0,0.0,0.0,4,6
26,2,1,1.0,3.0,3.0,0.0,2,6
35,2,0,3.0,3.0,3.0,2.0,2,6
26,2,0,1.0,2.0,3.0,0.0,2,5
26,2,0,2.0,3.0,3.0,2.0,2,6
25,1,1,2.0,3.0,5.0,2.0,1,6
27,2,1,2.0,2.0,3.0,2.0,3,6
25,2,1,0.0,0.0,0.0,0.0,2,5
31,2,0,0.0,0.0,0.0,0.0,2,6
26,2,1,1.0,2.0,2.0,2.0,3,6
28,1,1,2.0,3.0,2.0,0.0,2,6
37,2,1,3.0,4.0,3.0,0.0,5,6
26,2,0,2.0,3.0,2.0,0.0,2,6
28,2,0,1.0,2.0,2.0,2.0,2,5
25,2,0,1.0,2.0,2.0,2.0,3,4
34,1,1,3.0,3.0,2.0,0.0,2,5
27,2,1,2.0,3.0,3.0,0.0,2,6
26,2,1,1.0,2.0,2.0,0.0,2,6
44,2,0,2.0,2.0,2.0,0.0,2,6
28,2,0,2.0,3.0,4.0,0.0,2,5
23,2,0,0.0,0.0,0.0,0.0,2,5
23,1,0,1.0,2.0,3.0,2.0,2,5
32,2,1,3.0,4.0,4.0,2.0,4,6
26,2,1,2.0,3.0,3.0,2.0,3,3
25,2,1,3.0,2.0,2.0,0.0,2,6
24,1,1,3.0,4.0,5.0,2.0,2,6
24,2,1,3.0,3.0,3.0,0.0,2,6
23,2,1,1.0,2.0,2.0,0.0,3,5
51,1,1,1.0,3.0,3.0,0.0,2,6
26,2,0,1.0,2.0,2.0,0.0,2,6
27,2,1,2.0,2.0,2.0,0.0,3,3
29,2,1,2.0,3.0,2.0,0.0,2,6
27,2,1,0.0,0.0,0.0,0.0,2,6
32,2,1,0.0,2.0,2.0,0.0,2,5
21,2,0,1.0,2.0,2.0,2.0,2,5
34,2,1,1.0,3.0,2.0,2.0,2,3
26,2,1,3.0,4.0,4.0,0.0,2,5
26,2,0,1.0,2.0,2.0,0.0,2,6
25,1,1,0.0,0.0,0.0,0.0,2,6
32,2,1,1.0,4.0,2.0,0.0,2,6
25,2,0,2.0,2.0,3.0,2.0,3,6
28,2,0,0.0,0.0,0.0,0.0,2,6
28,2,1,1.0,2.0,2.0,0.0,2,6
35,1,1,1.0,2.0,2.0,0.0,2,5
30,2,1,0.0,0.0,0.0,0.0,2,6
22,2,1,1.0,2.0,3.0,2.0,4,6
23,2,0,2.0,3.0,4.0,0.0,3,6
24,2,0,3.0,2.0,4.0,0.0,2,6
24,2,1,3.0,3.0,3.0,2.0,5,6
33,1,1,1.0,3.0,4.0,2.0,2,6
26,2,1,1.0,2.0,2.0,0.0,2,6
39,2,1,2.0,3.0,3.0,2.0,5,6
23,2,0,2.0,3.0,3.0,2.0,3,3
28,2,0,3.0,4.0,4.0,2.0,4,4
37,2,1,1.0,2.0,2.0,0.0,2,4
31,2,0,3.0,3.0,3.0,0.0,2,6
24,2,0,2.0,2.0,3.0,0.0,2,6
26,2,0,2.0,3.0,5.0,0.0,2,6
25,2,0,1.0,2.0,2.0,0.0,2,6
24,1,1,3.0,3.0,2.0,0.0,2,5
25,2,1,2.0,3.0,4.0,0.0,2,6
27,2,1,3.0,3.0,3.0,2.0,3,4
26,1,1,1.0,2.0,2.0,2.0,2,5
28,2,1,0.0,0.0,0.0,0.0,3,6
28,1,1,0.0,0.0,0.0,0.0,2,6
22,2,0,1.0,3.0,2.0,0.0,2,6
